1004140	0	0	0	0	0	0	8879	0	0	0	0	0	0	48952
0	128	11058	0	2330	0	139	0	904	55	3	0	921	0	12
0	0	0	12132	0	0	0	0	0	0	0	0	0	0	0
0	292	14	0	0	0	0	0	8670	2847	1	8	0	0	549
0	15	7	0	5	0	0	0	1672	465	0	1	2	0	187
0	127	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	136	3	0	0	0	0	0
0	9177	758	0	13	98	0	0	0	0	155	237	0	0	0
11203	0	0	0	0	0	0	304	0	0	0	0	0	0	840
0	3488	56	0	5	3	0	0	0	0	55	73	0	0	0
0	0	0	249	0	0	0	0	0	0	0	0	0	0	0
0	15	1	0	0	0	0	0	372	79	0	5	0	0	6
0	34	0	0	0	0	0	0	593	231	1	0	0	0	64
46628	2274	238	0	1	26	0	1255	0	0	34	154	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
